Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  8.78      1.52     1.52                             resid (real.c:526 @ 40411a)
  3.88      2.19     0.67                             resid (real.c:524 @ 4040c2)
  3.56      2.80     0.62                             psinv (real.c:464 @ 404e10)
  3.54      3.41     0.61                             resid (real.c:529 @ 40435c)
  2.90      3.91     0.50                             resid (real.c:523 @ 40408f)
  2.87      4.41     0.50                             resid (real.c:525 @ 40413f)
  2.75      4.88     0.48                             psinv (real.c:471 @ 405069)
  2.72      5.35     0.47                             resid (real.c:538 @ 404354)
  2.35      5.76     0.41                             resid (real.c:529 @ 404315)
  2.35      6.16     0.41                             resid (real.c:537 @ 40431b)
  2.17      6.54     0.38                             resid (real.c:525 @ 4040ee)
  2.06      6.89     0.36                             resid (real.c:537 @ 40432e)
  1.94      7.23     0.34                             resid (real.c:524 @ 4040ea)
  1.85      7.55     0.32                             resid (real.c:525 @ 404109)
  1.80      7.86     0.31                             psinv (real.c:462 @ 404dbd)
  1.65      8.14     0.29                             rprj3 (real.c:605 @ 4059a0)
  1.54      8.41     0.27                             resid (real.c:538 @ 40430f)
  1.48      8.66     0.26                             interp (real.c:675 @ 4062c2)
  1.39      8.90     0.24                             interp (real.c:692 @ 4066dd)
  1.39      9.14     0.24                             psinv (real.c:461 @ 404d90)
  1.39      9.38     0.24                             vranlc (randdp.c:135 @ 407b14)
  1.22      9.59     0.21                             comm3 (real.c:869 @ 402766)
  1.22      9.80     0.21                             psinv (real.c:469 @ 405018)
  1.13     10.00     0.20                             resid (real.c:530 @ 4042e8)
  1.07     10.18     0.19                             psinv (real.c:467 @ 405012)
  1.04     10.36     0.18                             resid (real.c:537 @ 4042cb)
  0.99     10.53     0.17                             psinv (real.c:464 @ 404dde)
  0.96     10.70     0.17                             interp (real.c:680 @ 40633c)
  0.93     10.86     0.16                             resid (real.c:530 @ 404300)
  0.93     11.02     0.16                             resid (real.c:529 @ 404306)
  0.93     11.18     0.16                             resid (real.c:537 @ 404350)
  0.87     11.33     0.15                             interp (real.c:686 @ 406501)
  0.87     11.48     0.15                             psinv (real.c:467 @ 405083)
  0.87     11.63     0.15                             resid (real.c:525 @ 4040e3)
  0.87     11.78     0.15                             rprj3 (real.c:604 @ 4059ac)
  0.87     11.93     0.15                             vranlc (randdp.c:136 @ 407b24)
  0.81     12.07     0.14                             vranlc (randdp.c:132 @ 407af4)
  0.81     12.21     0.14                             vranlc (randdp.c:134 @ 407b0c)
  0.70     12.33     0.12                             psinv (real.c:462 @ 404de5)
  0.67     12.44     0.12                             psinv (real.c:462 @ 404db2)
  0.67     12.56     0.12                             resid (real.c:524 @ 4040b7)
  0.67     12.67     0.12                             resid (real.c:523 @ 4040be)
  0.67     12.79     0.12                             rprj3 (real.c:604 @ 405995)
  0.67     12.90     0.12                             rprj3 (real.c:607 @ 4059c1)
  0.67     13.02     0.12                             rprj3 (real.c:606 @ 4059cc)
  0.64     13.13     0.11                             psinv (real.c:470 @ 404fd0)
  0.61     13.23     0.11                             psinv (real.c:461 @ 404db9)
  0.61     13.34     0.11                             psinv (real.c:463 @ 404dff)
